Timers,TxTime,RxTime
985563,1758630559941405695,1758630559941687200
1011004,1758630559974779389,1758630559975093986
823991,1758630560008225552,1758630560008383220
895563,1758630560041659936,1758630560041890650
945804,1758630560075193611,1758630560075453317
953682,1758630560108907930,1758630560109185107
957942,1758630560142598617,1758630560142867222
972354,1758630560176202873,1758630560176478567
952433,1758630560209663687,1758630560209939032
958272,1758630560243261105,1758630560243546463
980373,1758630560276839650,1758630560277132784
826221,1758630560310269353,1758630560310416974
958413,1758630560343805159,1758630560344086547
942973,1758630560377218092,1758630560377482838
959603,1758630560410647466,1758630560410920986
953613,1758630560444064101,1758630560444350872
934692,1758630560477741608,1758630560477994491
945143,1758630560511170361,1758630560511440014
970423,1758630560544639745,1758630560544914318
980914,1758630560578183611,1758630560578469042
955473,1758630560611848628,1758630560612116093
980563,1758630560645358653,1758630560645625428
983582,1758630560678851768,1758630560679137657
940793,1758630560712287871,1758630560712549585
974533,1758630560745844308,1758630560746126005
993441,1758630560779304623,1758630560779577451
967834,1758630560812741085,1758630560813011152
981474,1758630560846159978,1758630560846435732
987623,1758630560879619963,1758630560879917234
990262,1758630560913055658,1758630560913341753
987264,1758630560946614553,1758630560946889420
975874,1758630560980269350,1758630560980545926
893283,1758630561013685913,1758630561013912458
832810,1758630561047176159,1758630561047325030
979143,1758630561080695724,1758630561080985867
990533,1758630561114337260,1758630561114625590
969273,1758630561147936816,1758630561148212896
1015383,1758630561181395642,1758630561181706797
978233,1758630561215050618,1758630561215332119
955352,1758630561248643244,1758630561248909119
975982,1758630561282113069,1758630561282394388
976044,1758630561315544352,1758630561315850433
974933,1758630561349118817,1758630561349401719
984044,1758630561382585621,1758630561382875890
975923,1758630561416221279,1758630561416504903
958193,1758630561449742664,1758630561450010548
983053,1758630561483209698,1758630561483484183
998034,1758630561516813964,1758630561517120608
994172,1758630561550277430,1758630561550555641
936912,1758630561583847355,1758630561584091750
985013,1758630561617314309,1758630561617604986
944592,1758630561650809964,1758630561651061618
947652,1758630561684272658,1758630561684510769
936512,1758630561717867254,1758630561718111440
918983,1758630561751410519,1758630561751634288
997413,1758630561784976776,1758630561785262008
939543,1758630561818579331,1758630561818840490
965632,1758630561852013656,1758630561852277711
966173,1758630561885541831,1758630561885814318
939832,1758630561918977566,1758630561919246760
993363,1758630561952409999,1758630561952710045
958453,1758630561985873453,1758630561986143033
960312,1758630562019298767,1758630562019585711
975733,1758630562052761382,1758630562053059877
988633,1758630562086284986,1758630562086586275
995583,1758630562119727160,1758630562120051364
998493,1758630562153305767,1758630562153605897
962032,1758630562187018525,1758630562187294231
944403,1758630562220459318,1758630562220728705
957273,1758630562253973633,1758630562254262825
983364,1758630562287370756,1758630562287685822
952093,1758630562320783950,1758630562321065451
975044,1758630562354343205,1758630562354612729
977492,1758630562388016114,1758630562388301715
962803,1758630562421450747,1758630562421722881
969172,1758630562454922852,1758630562455190030
979084,1758630562488559828,1758630562488826304
974873,1758630562522243686,1758630562522525167
963492,1758630562555889413,1758630562556163141
999753,1758630562589360298,1758630562589638791
951204,1758630562622973283,1758630562623254985
1009005,1758630562656448237,1758630562656739620
1020024,1758630562689869731,1758630562690160377
952152,1758630562723291426,1758630562723575903
950492,1758630562756994723,1758630562757282366
959153,1758630562790671410,1758630562790941178
936593,1758630562824100644,1758630562824378270
962023,1758630562857698050,1758630562857983390
927373,1758630562897131714,1758630562897394122
969643,1758630562930573148,1758630562930847060
940592,1758630562963988563,1758630562964260871
953732,1758630562997650299,1758630562997938948
981433,1758630563031102803,1758630563031413360
984593,1758630563064829930,1758630563065123040
967213,1758630563098312036,1758630563098585846
971264,1758630563131822090,1758630563132112336
1007813,1758630563165283565,1758630563165576416
974352,1758630563198998333,1758630563199272698
952143,1758630563232622969,1758630563232890301
995984,1758630563266080994,1758630563266385724
966614,1758630563299501067,1758630563299786928
999973,1758630563333066513,1758630563333370066
992483,1758630563366672969,1758630563366961378
975623,1758630563400204045,1758630563400488593
958802,1758630563433873672,1758630563434144782
960663,1758630563467547599,1758630563467813154
994782,1758630563500985504,1758630563501278815
1012183,1758630563534564449,1758630563534873344
988662,1758630563568219257,1758630563568509577
986074,1758630563601674130,1758630563601966563
985094,1758630563635140924,1758630563635426722
995193,1758630563668608099,1758630563668911570
977563,1758630563702026213,1758630563702315532
983993,1758630563735525658,1758630563735797396
963202,1758630563769108114,1758630563769386717
980793,1758630563802571438,1758630563802848437
839262,1758630563835995141,1758630563836139518
977733,1758630563869508077,1758630563869777520
976253,1758630563903171765,1758630563903453467
970103,1758630563936600658,1758630563936875984
993243,1758630563970092032,1758630563970385635
807221,1758630564003519656,1758630564003662324
957494,1758630564036978700,1758630564037268906
987173,1758630564070436176,1758630564070711449
977933,1758630564104047672,1758630564104339153
994283,1758630564137549557,1758630564137834215
1001963,1758630564170981531,1758630564171265325
988592,1758630564204420906,1758630564204718727
995734,1758630564237877249,1758630564238183963
992863,1758630564271447536,1758630564271729383
935613,1758630564304880369,1758630564305150988
1012473,1758630564338507656,1758630564338809541
941523,1758630564371998151,1758630564372272525
991374,1758630564405623187,1758630564405910411
956523,1758630564439059961,1758630564439333296
991143,1758630564472638687,1758630564472911646
965303,1758630564506121802,1758630564506392518
983253,1758630564539589146,1758630564539857927
981223,1758630564573177252,1758630564573464818
976323,1758630564606710288,1758630564606990444
980593,1758630564640174823,1758630564640454579
990493,1758630564673638847,1758630564673918873
990083,1758630564707150572,1758630564707443605
984554,1758630564740791409,1758630564741086891
974774,1758630564774455255,1758630564774748304
960933,1758630564808073923,1758630564808344989
938073,1758630564841492626,1758630564841738405
942462,1758630564874992081,1758630564875264964
981513,1758630564908562667,1758630564908840236
991744,1758630564941992290,1758630564942281420
993974,1758630564975594417,1758630564975889977
819641,1758630565014196749,1758630565014351657
894612,1758630565047624523,1758630565047857716
952934,1758630565081058967,1758630565081324880
991773,1758630565114466272,1758630565114770537
973804,1758630565148006706,1758630565148295878
943562,1758630565181646554,1758630565181917264
994903,1758630565215114248,1758630565215417894
934183,1758630565248658204,1758630565248909255
986284,1758630565282118308,1758630565282410390
1003603,1758630565315585843,1758630565315881944
956952,1758630565349235820,1758630565349508466
962072,1758630565382666614,1758630565382944426
945373,1758630565416133548,1758630565416385329
951262,1758630565449552422,1758630565449837687
935303,1758630565483239679,1758630565483489414
921032,1758630565516801256,1758630565517036895
959283,1758630565550230279,1758630565550518057
963283,1758630565583675944,1758630565583945645
990144,1758630565617274380,1758630565617576224
972383,1758630565650737164,1758630565651010664
968413,1758630565684374462,1758630565684668299
967893,1758630565717893866,1758630565718183478
982443,1758630565751426681,1758630565751696361
968253,1758630565785008527,1758630565785282949
1011014,1758630565818467451,1758630565818766794
989773,1758630565852116709,1758630565852405729
983043,1758630565885594363,1758630565885889091
1011033,1758630565919054888,1758630565919369666
972263,1758630565952479721,1758630565952756557
976364,1758630565986013137,1758630565986304352
938943,1758630566019430041,1758630566019705194
956652,1758630566052846575,1758630566053145857
990743,1758630566086275559,1758630566086578813
987463,1758630566119735393,1758630566120014015
980423,1758630566153193478,1758630566153478824
981273,1758630566186861524,1758630566187156725
994953,1758630566220324489,1758630566220629161
962063,1758630566253937926,1758630566254225320
939483,1758630566287357799,1758630566287637656
967943,1758630566320765143,1758630566321039320
977292,1758630566354174497,1758630566354465358
951482,1758630566387600381,1758630566387867989
991333,1758630566421035974,1758630566421340351
959663,1758630566454460459,1758630566454730961
961252,1758630566488021915,1758630566488309430
952623,1758630566521436998,1758630566521709986
964522,1758630566554899414,1758630566555172638
963694,1758630566588445728,1758630566588717977
939973,1758630566621883382,1758630566622151306
