Total PCIE Bandwidth (GB/s),Total PCIE Rd Bandwidth (GB/s),Total PCIE Wr Bandwidth (GB/s),Total PCIE Rd Bandwidth Local (GB/s),Total PCIE Wr Bandwidth Local (GB/s),Total PCIE Rd Bandwidth Remote (GB/s),Total PCIE Wr Bandwidth Remote (GB/s)
0.58,0.29,0.29,0.29,0.29,0.00,0.00
0.60,0.30,0.30,0.30,0.30,0.00,0.00
0.22,0.11,0.11,0.11,0.11,0.00,0.00
