Total PCIE Bandwidth (GB/s),Total PCIE Rd Bandwidth (GB/s),Total PCIE Wr Bandwidth (GB/s),Total PCIE Rd Bandwidth Local (GB/s),Total PCIE Wr Bandwidth Local (GB/s),Total PCIE Rd Bandwidth Remote (GB/s),Total PCIE Wr Bandwidth Remote (GB/s)
5.29,2.65,2.64,2.65,2.64,0.00,0.00
5.28,2.65,2.63,2.65,2.63,0.00,0.00
2.12,1.06,1.06,1.06,1.06,0.00,0.00
