Total PCIE Bandwidth (GB/s),Total PCIE Rd Bandwidth (GB/s),Total PCIE Wr Bandwidth (GB/s),Total PCIE Rd Bandwidth Local (GB/s),Total PCIE Wr Bandwidth Local (GB/s),Total PCIE Rd Bandwidth Remote (GB/s),Total PCIE Wr Bandwidth Remote (GB/s)
5.29,2.65,2.64,2.65,2.64,0.00,0.00
5.25,2.63,2.62,2.63,2.62,0.00,0.00
2.10,1.06,1.05,1.06,1.05,0.00,0.00
