Total PCIE Bandwidth (GB/s),Total PCIE Rd Bandwidth (GB/s),Total PCIE Wr Bandwidth (GB/s),Total PCIE Rd Bandwidth Local (GB/s),Total PCIE Wr Bandwidth Local (GB/s),Total PCIE Rd Bandwidth Remote (GB/s),Total PCIE Wr Bandwidth Remote (GB/s)
0.60,0.30,0.30,0.30,0.30,0.00,0.00
0.59,0.29,0.29,0.29,0.29,0.00,0.00
0.24,0.12,0.12,0.12,0.12,0.00,0.00
