Total PCIE Bandwidth (GB/s),Total PCIE Rd Bandwidth (GB/s),Total PCIE Wr Bandwidth (GB/s),Total PCIE Rd Bandwidth Local (GB/s),Total PCIE Wr Bandwidth Local (GB/s),Total PCIE Rd Bandwidth Remote (GB/s),Total PCIE Wr Bandwidth Remote (GB/s)
0.15,0.07,0.07,0.07,0.07,0.00,0.00
0.15,0.08,0.08,0.08,0.08,0.00,0.00
0.15,0.08,0.08,0.08,0.08,0.00,0.00
