Total PCIE Bandwidth (GB/s),Total PCIE Rd Bandwidth (GB/s),Total PCIE Wr Bandwidth (GB/s),Total PCIE Rd Bandwidth Local (GB/s),Total PCIE Wr Bandwidth Local (GB/s),Total PCIE Rd Bandwidth Remote (GB/s),Total PCIE Wr Bandwidth Remote (GB/s)
2.57,1.29,1.28,1.29,1.28,0.00,0.00
2.65,1.33,1.33,1.33,1.33,0.00,0.00
2.65,1.33,1.33,1.33,1.33,0.00,0.00
