Total PCIE Bandwidth (GB/s),Total PCIE Rd Bandwidth (GB/s),Total PCIE Wr Bandwidth (GB/s),Total PCIE Rd Bandwidth Local (GB/s),Total PCIE Wr Bandwidth Local (GB/s),Total PCIE Rd Bandwidth Remote (GB/s),Total PCIE Wr Bandwidth Remote (GB/s)
1.33,0.66,0.66,0.66,0.66,0.00,0.00
1.32,0.66,0.66,0.66,0.66,0.00,0.00
0.49,0.24,0.24,0.24,0.24,0.00,0.00
